"","Yb173Di","barcode","type"
"1",987,"Yb173Di","beads"
"2",4,"Yb176Di","beads"
"3",5,"Yb176Di","beads"
"4",1,"Yb174Di","beads"
"5",42,"Yb172Di","beads"
"6",0,"Yb176Di","beads"
"7",4,"Yb171Di","beads"
"8",0,"Yb171Di","beads"
"9",4,"Yb174Di","beads"
"10",72,"Yb172Di","beads"
"11",5,"Yb174Di","beads"
"12",42,"Yb172Di","beads"
"13",9,"Yb176Di","beads"
"14",2,"Yb171Di","beads"
"15",6,"Yb174Di","beads"
"16",3,"Yb176Di","beads"
"17",10,"Yb174Di","beads"
"18",5,"Yb171Di","beads"
"19",1379,"Yb173Di","beads"
"20",65,"Yb172Di","beads"
"21",88,"Yb172Di","beads"
"22",10,"Yb176Di","beads"
"23",1079,"Yb173Di","beads"
"24",46,"Yb172Di","beads"
"25",0,"Yb171Di","beads"
"26",5,"Yb174Di","beads"
"27",1,"Yb171Di","beads"
"28",1190,"Yb173Di","beads"
"29",5,"Yb174Di","beads"
"30",1197,"Yb173Di","beads"
"31",1740,"Yb173Di","beads"
"32",2,"Yb171Di","beads"
"33",16,"Yb174Di","beads"
"34",38,"Yb172Di","beads"
"35",0,"Yb176Di","beads"
"36",1252,"Yb173Di","beads"
"37",1171,"Yb173Di","beads"
"38",1,"Yb176Di","beads"
"39",1156,"Yb173Di","beads"
"40",3,"Yb171Di","beads"
"41",4,"Yb176Di","beads"
"42",2,"Yb176Di","beads"
"43",4,"Yb176Di","beads"
"44",1110,"Yb173Di","beads"
"45",1010,"Yb173Di","beads"
"46",8,"Yb176Di","beads"
"47",1,"Yb176Di","beads"
"48",1151,"Yb173Di","beads"
"49",1088,"Yb173Di","beads"
"50",1692,"Yb173Di","beads"
"51",1172,"Yb173Di","beads"
"52",1162,"Yb173Di","beads"
"53",0,"Yb171Di","beads"
"54",89,"Yb172Di","beads"
"55",12,"Yb176Di","beads"
"56",0,"Yb174Di","beads"
"57",1162,"Yb173Di","beads"
"58",1432,"Yb173Di","beads"
"59",26,"Yb172Di","beads"
"60",11,"Yb174Di","beads"
"61",1200,"Yb173Di","beads"
"62",1218,"Yb173Di","beads"
"63",1085,"Yb173Di","beads"
"64",55,"Yb172Di","beads"
"65",6,"Yb174Di","beads"
"66",1,"Yb171Di","beads"
"67",4,"Yb171Di","beads"
"68",4,"Yb171Di","beads"
"69",4,"Yb176Di","beads"
"70",1118,"Yb173Di","beads"
"71",11,"Yb171Di","beads"
"72",1569,"Yb173Di","beads"
"73",6,"Yb176Di","beads"
"74",1152,"Yb173Di","beads"
"75",0,"Yb171Di","beads"
"76",6,"Yb174Di","beads"
"77",2,"Yb174Di","beads"
"78",0,"Yb176Di","beads"
"79",0,"Yb176Di","beads"
"80",1,"Yb174Di","beads"
"81",37,"Yb172Di","beads"
"82",1,"Yb176Di","beads"
"83",4,"Yb174Di","beads"
"84",5,"Yb176Di","beads"
"85",0,"Yb174Di","beads"
"86",38,"Yb172Di","beads"
"87",4,"Yb176Di","beads"
"88",2,"Yb171Di","beads"
"89",2,"Yb176Di","beads"
"90",38,"Yb172Di","beads"
"91",0,"Yb171Di","beads"
"92",52,"Yb172Di","beads"
"93",8,"Yb176Di","beads"
"94",2,"Yb171Di","beads"
"95",6,"Yb176Di","beads"
"96",1564,"Yb173Di","beads"
"97",1010,"Yb173Di","beads"
"98",1282,"Yb173Di","beads"
"99",6,"Yb176Di","beads"
"100",1,"Yb171Di","beads"
"101",0,"Yb171Di","beads"
"102",1725,"Yb173Di","beads"
"103",1,"Yb176Di","beads"
"104",18,"Yb174Di","beads"
"105",2,"Yb176Di","beads"
"106",2,"Yb171Di","beads"
"107",10,"Yb174Di","beads"
"108",3,"Yb171Di","beads"
"109",1322,"Yb173Di","beads"
"110",10,"Yb174Di","beads"
"111",9,"Yb174Di","beads"
"112",8,"Yb176Di","beads"
"113",4,"Yb171Di","beads"
"114",1062,"Yb173Di","beads"
"115",13,"Yb176Di","beads"
"116",4,"Yb174Di","beads"
"117",7,"Yb176Di","beads"
"118",0,"Yb171Di","beads"
"119",1786,"Yb173Di","beads"
"120",3,"Yb171Di","beads"
"121",1176,"Yb173Di","beads"
"122",938,"Yb173Di","beads"
"123",1098,"Yb173Di","beads"
"124",8,"Yb174Di","beads"
"125",0,"Yb176Di","beads"
"126",3,"Yb174Di","beads"
"127",1435,"Yb173Di","beads"
"128",1041,"Yb173Di","beads"
"129",36,"Yb172Di","beads"
"130",1409,"Yb173Di","beads"
"131",74,"Yb172Di","beads"
"132",4,"Yb174Di","beads"
"133",56,"Yb172Di","beads"
"134",8,"Yb176Di","beads"
"135",6,"Yb171Di","beads"
"136",1109,"Yb173Di","beads"
"137",0,"Yb171Di","beads"
"138",10,"Yb174Di","beads"
"139",24,"Yb172Di","beads"
"140",3,"Yb174Di","beads"
"141",1256,"Yb173Di","beads"
"142",33,"Yb172Di","beads"
"143",8,"Yb174Di","beads"
"144",1096,"Yb173Di","beads"
"145",0,"Yb174Di","beads"
"146",1142,"Yb173Di","beads"
"147",1,"Yb174Di","beads"
"148",1618,"Yb173Di","beads"
"149",4,"Yb174Di","beads"
"150",4,"Yb176Di","beads"
"151",48,"Yb172Di","beads"
"152",2,"Yb171Di","beads"
"153",7,"Yb176Di","beads"
"154",4,"Yb176Di","beads"
"155",1037,"Yb173Di","beads"
"156",35,"Yb172Di","beads"
"157",5,"Yb174Di","beads"
"158",48,"Yb172Di","beads"
"159",1,"Yb176Di","beads"
"160",3,"Yb176Di","beads"
"161",1,"Yb174Di","beads"
"162",2,"Yb171Di","beads"
"163",1166,"Yb173Di","beads"
"164",4,"Yb171Di","beads"
"165",1,"Yb174Di","beads"
"166",14,"Yb176Di","beads"
"167",0,"Yb171Di","beads"
"168",2313,"Yb173Di","beads"
"169",4,"Yb171Di","beads"
"170",1120,"Yb173Di","beads"
"171",1186,"Yb173Di","beads"
"172",2,"Yb171Di","beads"
"173",32,"Yb172Di","beads"
"174",1,"Yb174Di","beads"
"175",0,"Yb174Di","beads"
"176",7,"Yb171Di","beads"
"177",0,"Yb171Di","beads"
"178",3,"Yb171Di","beads"
"179",34,"Yb172Di","beads"
"180",10,"Yb174Di","beads"
"181",37,"Yb172Di","beads"
"182",11,"Yb176Di","beads"
"183",1249,"Yb173Di","beads"
"184",41,"Yb172Di","beads"
"185",39,"Yb172Di","beads"
"186",56,"Yb172Di","beads"
"187",41,"Yb172Di","beads"
"188",36,"Yb172Di","beads"
"189",2,"Yb171Di","beads"
"190",12,"Yb174Di","beads"
"191",2,"Yb171Di","beads"
