"","Yb173Di","barcode","type"
"1",35,"none","real cells"
"2",821,"none","real cells"
"3",725,"none","real cells"
"4",27,"none","real cells"
"5",786,"none","real cells"
"6",1113,"none","real cells"
"7",38,"none","real cells"
"8",820,"none","real cells"
"9",58,"none","real cells"
"10",152,"none","real cells"
"11",68,"none","real cells"
"12",32,"none","real cells"
"13",896,"none","real cells"
"14",46,"none","real cells"
"15",114,"none","real cells"
"16",66,"none","real cells"
"17",1224,"none","real cells"
"18",679,"none","real cells"
"19",776,"none","real cells"
"20",1227,"none","real cells"
"21",71,"none","real cells"
"22",741,"none","real cells"
"23",787,"none","real cells"
"24",0,"none","real cells"
"25",609,"none","real cells"
"26",1000,"none","real cells"
"27",147,"none","real cells"
"28",1124,"none","real cells"
"29",77,"none","real cells"
"30",1632,"none","real cells"
"31",958,"none","real cells"
"32",102,"none","real cells"
"33",32,"none","real cells"
"34",733,"none","real cells"
"35",86,"none","real cells"
"36",74,"none","real cells"
"37",64,"none","real cells"
"38",1260,"none","real cells"
"39",1014,"none","real cells"
"40",923,"none","real cells"
"41",757,"none","real cells"
"42",120,"none","real cells"
"43",91,"none","real cells"
"44",1127,"none","real cells"
"45",41,"none","real cells"
"46",1362,"none","real cells"
"47",1271,"none","real cells"
"48",1408,"none","real cells"
"49",85,"none","real cells"
"50",1041,"none","real cells"
"51",52,"none","real cells"
"52",80,"none","real cells"
"53",1117,"none","real cells"
"54",6,"none","real cells"
"55",0,"none","real cells"
"56",29,"none","real cells"
"57",1022,"none","real cells"
"58",922,"none","real cells"
"59",874,"none","real cells"
"60",28,"none","real cells"
"61",23,"none","real cells"
"62",83,"none","real cells"
"63",849,"none","real cells"
"64",1073,"none","real cells"
"65",72,"none","real cells"
"66",59,"none","real cells"
"67",965,"none","real cells"
"68",1189,"none","real cells"
"69",56,"none","real cells"
"70",191,"none","real cells"
"71",906,"none","real cells"
"72",1198,"none","real cells"
"73",19,"none","real cells"
"74",1158,"none","real cells"
"75",21,"none","real cells"
"76",1176,"none","real cells"
"77",40,"none","real cells"
"78",46,"none","real cells"
"79",67,"none","real cells"
"80",54,"none","real cells"
"81",124,"none","real cells"
"82",877,"none","real cells"
"83",945,"none","real cells"
"84",87,"none","real cells"
"85",92,"none","real cells"
"86",1284,"none","real cells"
"87",49,"none","real cells"
"88",56,"none","real cells"
"89",74,"none","real cells"
"90",44,"none","real cells"
"91",675,"none","real cells"
"92",52,"none","real cells"
"93",924,"none","real cells"
"94",1082,"none","real cells"
"95",126,"none","real cells"
"96",131,"none","real cells"
"97",1019,"none","real cells"
"98",49,"none","real cells"
"99",97,"none","real cells"
"100",820,"none","real cells"
"101",2259,"none","real cells"
"102",902,"none","real cells"
"103",25,"none","real cells"
"104",925,"none","real cells"
"105",926,"none","real cells"
"106",869,"none","real cells"
"107",39,"none","real cells"
"108",57,"none","real cells"
"109",103,"none","real cells"
"110",99,"none","real cells"
"111",103,"none","real cells"
"112",954,"none","real cells"
"113",1338,"none","real cells"
"114",861,"none","real cells"
"115",1177,"none","real cells"
"116",32,"none","real cells"
"117",61,"none","real cells"
"118",1073,"none","real cells"
"119",777,"none","real cells"
"120",103,"none","real cells"
"121",65,"none","real cells"
"122",49,"none","real cells"
"123",1172,"none","real cells"
"124",673,"none","real cells"
"125",35,"none","real cells"
"126",80,"none","real cells"
"127",8,"none","real cells"
"128",116,"none","real cells"
"129",63,"none","real cells"
"130",662,"none","real cells"
"131",5,"none","real cells"
"132",63,"none","real cells"
"133",593,"none","real cells"
"134",220,"none","real cells"
"135",89,"none","real cells"
"136",1183,"none","real cells"
"137",71,"none","real cells"
"138",1029,"none","real cells"
"139",58,"none","real cells"
"140",716,"none","real cells"
"141",123,"none","real cells"
"142",121,"none","real cells"
"143",816,"none","real cells"
"144",103,"none","real cells"
"145",38,"none","real cells"
"146",49,"none","real cells"
"147",584,"none","real cells"
"148",4,"none","real cells"
"149",40,"none","real cells"
"150",82,"none","real cells"
"151",1302,"none","real cells"
"152",36,"none","real cells"
"153",27,"none","real cells"
"154",77,"none","real cells"
"155",668,"none","real cells"
"156",24,"none","real cells"
"157",1137,"none","real cells"
"158",62,"none","real cells"
"159",57,"none","real cells"
"160",78,"none","real cells"
"161",1109,"none","real cells"
"162",1150,"none","real cells"
"163",98,"none","real cells"
"164",1611,"none","real cells"
"165",68,"none","real cells"
"166",741,"none","real cells"
"167",892,"none","real cells"
"168",1173,"none","real cells"
"169",37,"none","real cells"
"170",72,"none","real cells"
"171",64,"none","real cells"
"172",872,"none","real cells"
"173",24,"none","real cells"
"174",80,"none","real cells"
"175",1133,"none","real cells"
"176",94,"none","real cells"
"177",85,"none","real cells"
"178",1005,"none","real cells"
"179",68,"none","real cells"
"180",818,"none","real cells"
"181",1053,"none","real cells"
"182",1026,"none","real cells"
"183",73,"none","real cells"
"184",57,"none","real cells"
"185",94,"none","real cells"
"186",61,"none","real cells"
"187",98,"none","real cells"
"188",1044,"none","real cells"
"189",85,"none","real cells"
"190",920,"none","real cells"
"191",54,"none","real cells"
"192",35,"none","real cells"
"193",1006,"none","real cells"
"194",1197,"none","real cells"
"195",1535,"none","real cells"
"196",82,"none","real cells"
"197",108,"none","real cells"
"198",71,"none","real cells"
"199",358,"none","real cells"
"200",821,"none","real cells"
"201",82,"none","real cells"
"202",115,"none","real cells"
"203",787,"none","real cells"
"204",858,"none","real cells"
"205",69,"none","real cells"
"206",871,"none","real cells"
"207",2,"none","real cells"
"208",28,"none","real cells"
"209",1170,"none","real cells"
"210",25,"none","real cells"
"211",81,"none","real cells"
"212",783,"none","real cells"
"213",116,"none","real cells"
"214",989,"none","real cells"
"215",58,"none","real cells"
"216",31,"none","real cells"
"217",893,"none","real cells"
"218",1301,"none","real cells"
"219",38,"none","real cells"
"220",98,"none","real cells"
"221",1120,"none","real cells"
"222",76,"none","real cells"
"223",987,"none","real cells"
"224",35,"none","real cells"
"225",119,"none","real cells"
"226",77,"none","real cells"
"227",582,"none","real cells"
"228",7,"none","real cells"
"229",121,"none","real cells"
"230",40,"none","real cells"
"231",1115,"none","real cells"
"232",1121,"none","real cells"
"233",44,"none","real cells"
"234",61,"none","real cells"
"235",350,"none","real cells"
"236",1,"none","real cells"
"237",13,"none","real cells"
"238",81,"none","real cells"
"239",1299,"none","real cells"
"240",47,"none","real cells"
"241",946,"none","real cells"
"242",68,"none","real cells"
"243",94,"none","real cells"
"244",662,"none","real cells"
"245",87,"none","real cells"
"246",1722,"none","real cells"
"247",1272,"none","real cells"
"248",54,"none","real cells"
"249",2,"none","real cells"
"250",601,"none","real cells"
"251",69,"none","real cells"
"252",737,"none","real cells"
"253",43,"none","real cells"
"254",1078,"none","real cells"
"255",55,"none","real cells"
"256",97,"none","real cells"
"257",874,"none","real cells"
"258",82,"none","real cells"
"259",61,"none","real cells"
"260",72,"none","real cells"
"261",96,"none","real cells"
"262",744,"none","real cells"
"263",1260,"none","real cells"
"264",70,"none","real cells"
"265",66,"none","real cells"
"266",50,"none","real cells"
"267",979,"none","real cells"
"268",90,"none","real cells"
"269",156,"none","real cells"
"270",56,"none","real cells"
"271",544,"none","real cells"
"272",101,"none","real cells"
"273",83,"none","real cells"
"274",729,"none","real cells"
"275",925,"none","real cells"
"276",102,"none","real cells"
"277",922,"none","real cells"
"278",51,"none","real cells"
"279",848,"none","real cells"
"280",909,"none","real cells"
"281",94,"none","real cells"
"282",908,"none","real cells"
"283",85,"none","real cells"
"284",111,"none","real cells"
"285",137,"none","real cells"
"286",1026,"none","real cells"
"287",100,"none","real cells"
"288",870,"none","real cells"
"289",1245,"none","real cells"
"290",527,"none","real cells"
"291",100,"none","real cells"
"292",875,"none","real cells"
"293",1517,"none","real cells"
"294",1100,"none","real cells"
"295",1186,"none","real cells"
"296",58,"none","real cells"
"297",16,"none","real cells"
"298",1167,"none","real cells"
"299",727,"none","real cells"
"300",42,"none","real cells"
"301",775,"none","real cells"
"302",40,"none","real cells"
"303",902,"none","real cells"
"304",880,"none","real cells"
"305",32,"none","real cells"
"306",894,"none","real cells"
"307",44,"none","real cells"
"308",1249,"none","real cells"
"309",844,"none","real cells"
"310",66,"none","real cells"
"311",64,"none","real cells"
"312",783,"none","real cells"
"313",698,"none","real cells"
"314",928,"none","real cells"
"315",1047,"none","real cells"
"316",1354,"none","real cells"
"317",792,"none","real cells"
"318",1639,"none","real cells"
"319",70,"none","real cells"
"320",768,"none","real cells"
"321",5,"none","real cells"
"322",812,"none","real cells"
"323",72,"none","real cells"
"324",1317,"none","real cells"
"325",721,"none","real cells"
"326",82,"none","real cells"
"327",1691,"none","real cells"
"328",5,"none","real cells"
"329",1244,"none","real cells"
"330",62,"none","real cells"
"331",700,"none","real cells"
"332",88,"none","real cells"
"333",1256,"none","real cells"
"334",24,"none","real cells"
"335",0,"none","real cells"
"336",58,"none","real cells"
"337",1486,"none","real cells"
"338",1,"none","real cells"
"339",83,"none","real cells"
"340",691,"none","real cells"
"341",993,"none","real cells"
"342",68,"none","real cells"
"343",1064,"none","real cells"
"344",1988,"none","real cells"
"345",129,"none","real cells"
"346",654,"none","real cells"
"347",922,"none","real cells"
"348",2123,"none","real cells"
"349",64,"none","real cells"
"350",1435,"none","real cells"
"351",138,"none","real cells"
"352",104,"none","real cells"
"353",30,"none","real cells"
"354",48,"none","real cells"
"355",45,"none","real cells"
"356",77,"none","real cells"
"357",1089,"none","real cells"
"358",85,"none","real cells"
"359",74,"none","real cells"
"360",45,"none","real cells"
"361",67,"none","real cells"
"362",1501,"none","real cells"
"363",699,"none","real cells"
"364",159,"none","real cells"
"365",1714,"none","real cells"
"366",34,"none","real cells"
"367",935,"none","real cells"
"368",1305,"none","real cells"
"369",97,"none","real cells"
"370",951,"none","real cells"
"371",41,"none","real cells"
"372",1140,"none","real cells"
"373",617,"none","real cells"
"374",65,"none","real cells"
"375",992,"none","real cells"
"376",649,"none","real cells"
"377",29,"none","real cells"
"378",1244,"none","real cells"
"379",10,"none","real cells"
"380",82,"none","real cells"
"381",104,"none","real cells"
"382",788,"none","real cells"
"383",29,"none","real cells"
"384",1290,"none","real cells"
"385",48,"none","real cells"
"386",31,"none","real cells"
"387",926,"none","real cells"
"388",918,"none","real cells"
"389",49,"none","real cells"
"390",13,"none","real cells"
"391",60,"none","real cells"
"392",700,"none","real cells"
"393",62,"none","real cells"
"394",932,"none","real cells"
"395",65,"none","real cells"
"396",208,"none","real cells"
"397",45,"none","real cells"
"398",31,"none","real cells"
"399",16,"none","real cells"
"400",727,"none","real cells"
"401",1219,"none","real cells"
"402",110,"none","real cells"
"403",842,"none","real cells"
"404",712,"none","real cells"
"405",532,"none","real cells"
"406",48,"none","real cells"
"407",1019,"none","real cells"
"408",125,"none","real cells"
"409",1324,"none","real cells"
"410",87,"none","real cells"
"411",110,"none","real cells"
"412",57,"none","real cells"
"413",28,"none","real cells"
"414",132,"none","real cells"
"415",1271,"none","real cells"
"416",40,"none","real cells"
